1430268182|9781430268185|2014-08|Prabath Siriwardena|Apress|Advanced API Security: Securing APIs with OAuth 2.0, OpenID Connect, JWS, and JWE|security,api,oauth
0071832386|9780071832380|2015-01|Daniel Regalado, Shon Harris, Allen Harper, Chris Eagle, Jonathan Ness, Branko Spasojevic, Ryan Linn, Stephen Sims|McGraw-Hill Education|Gray Hat Hacking The Ethical Hacker's Handbook, Fourth Edition|security,hacker
0134190440|9780134190440|2015-11|Alan A. A. Donovan, Brian W. Kernighan|Addison-Wesley Professional|The Go Programming Language (Addison-Wesley Professional Computing Series)|golang,programming
0136042597|9780136042594|2009-12|Stuart Russell, Peter Norvig|Pearson|Artificial Intelligence: A Modern Approach (3rd Edition)|ai
0321784138|9780321784131|2013-08|Mario Cardinal|Addison-Wesley Professional|Executable Specifications with Scrum: A Practical Guide to Agile Requirements Discovery|agile,scrum
0321832043|9780321832047|2012-11|Kyle Rankin|Addison-Wesley Professional|DevOps Troubleshooting: Linux Server Best Practices|devops,linux
1118770544|9781118770542|2014-10|Daniel Richardson|For Dummies|Social Psychology For Dummies|psychology
1118828046|9781118828045|2014-03|Mark Zegarelli|For Dummies|Basic Math and Pre-Algebra Workbook For Dummies|math
1118987128|9781118987124|2015-08|Matthew Monte|Wiley|Network Attacks and Exploitation: A Framework|security,hacker,network
1119062764|9781119062769|2015-06|Marty Lewinter, Jeanine Meyer|Wiley|Elementary Number Theory with Programming|math
1449319432|9781449319434|2012-09|Jan Goyvaerts, Steven Levithan|O'Reilly Media|Regular Expressions Cookbook: Detailed Solutions in Eight Programming Languages|regex
1449331920|9781449331924|2013-12|Andrew Stellman, Jennifer Greene|O'Reilly Media|Learning Agile: Understanding Scrum, XP, Lean, and Kanban|agile,scrum,xp,lean,kanban
1449342574|9781449342579|2017-01|Mike Ryan, Federico Lucifredi|O'Reilly Media|AWS System Administration: Best Practices for Sysadmins in the Amazon Cloud|aws,network
1449392687|9781449392680|2012-08|Michael Fitzgerald|O'Reilly Media|Introducing Regular Expressions: Unraveling Regular Expressions, Step-by-Step|regex
1466592613|9781466592612|2015-04|Hanqing Wu, Liz Zhao|Auerbach Publications|Web Security: A WhiteHat Perspective|security,hacker
1484204042|9781484204047|2014-12|Phillip Whitt|Apress|Beginning Photo Retouching and Restoration Using GIMP|gimp,image
1484210530|9781484210536|2015-11|Shiju Varghese|Apress|Web Development with Go: Building Scalable Web Apps and RESTful Services|golang,api,rest
1484218531|9781484218532|2016-07|Aravind Shenoy, Anirudh Prabhu|Apress|Introducing SEO: Your quick-start guide to effective SEO practices|seo
1484218566|9781484218563|2016-07|Ric Messier|Apress|Penetration Testing Basics: A Quick-Start Guide to Breaking into Systems|security,hacker,pentest
1491904615|9781491904619|2015-03|Arnold Robbins|O'Reilly Media|Effective awk Programming: Universal Text Processing and Pattern Matching|awk,shell
1491909900|9781491909904|2015-11|Yevgeniy Brikman|O'Reilly Media|Hello, Startup: A Programmer's Guide to Building Products, Technologies, and Teams|startup,business
1491917571|9781491917572|2015-07|Karl Matthias, Sean P. Kane|O'Reilly Media|Docker: Up & Running: Shipping Reliable Containers in Production|devops,docker
1491924543|9781491924549|2016-08|Siraj Raval|O'Reilly Media|Decentralized Applications: Harnessing Bitcoin's Blockchain Technology|bitcoin
1491941952|9781491941959|2016-02|Caleb Doxsey|O'Reilly Media|Introducing Go: Build Reliable, Scalable Programs|golang
1491946008|9781491946008|2015-08|Luciano Ramalho|O'Reilly Media|Fluent Python: Clear, Concise, and Effective Programming|python
1491949643|9781491949641|2015-12|Samantha Kleinberg|O'Reilly Media|Why: A Guide to Finding and Using Causes|misc
